"Name","DisplayName","Status","StartType"
"AarSvc_4da02d0","Agent Activation Runtime_4da02d0","Stopped","Manual"
"AJRouter","AllJoyn Router Service","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AMD Crash Defender Service","AMD Crash Defender Service","Running","Automatic"
"AMD External Events Utility","AMD External Events Utility","Running","Automatic"
"AppIDSvc","Application Identity","Stopped","Manual"
"Appinfo","Application Information","Running","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"AUEPLauncher","AMD User Experience Program Data Uploader","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_4da02d0","GameDVR and Broadcast User Service_4da02d0","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Stopped","Manual"
"BluetoothUserService_4da02d0","Bluetooth User Support Service_4da02d0","Running","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual"
"BthAvctpSvc","AVCTP service","Running","Manual"
"bthserv","Bluetooth Support Service","Running","Manual"
"camsvc","Capability Access Manager Service","Running","Manual"
"CaptureService_4da02d0","CaptureService_4da02d0","Running","Manual"
"cbdhsvc_4da02d0","Clipboard User Service_4da02d0","Running","Manual"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_4da02d0","Connected Devices Platform User Service_4da02d0","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic"
"ClipSVC","Client License Service (ClipSVC)","Running","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_4da02d0","ConsentUX_4da02d0","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CorsairCpuIdService","Corsair CpuIdService","Stopped","Disabled"
"CorsairDeviceListerService","Corsair Device Listing Service","Stopped","Disabled"
"CorsairGamingAudioConfig","Corsair Gaming Audio Configuration Service","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_4da02d0","CredentialEnrollmentManagerUserSvc_4da02d0","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimize drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_4da02d0","DeviceAssociationBroker_4da02d0","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Running","Manual"
"DeviceInstall","Device Install Service","Running","Manual"
"DevicePickerUserSvc_4da02d0","DevicePicker_4da02d0","Stopped","Manual"
"DevicesFlowUserSvc_4da02d0","DevicesFlow_4da02d0","Stopped","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Running","Manual"
"Dhcp","DHCP Client","Running","Automatic"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual"
"Dnscache","DNS Client","Running","Automatic"
"DoSvc","Delivery Optimization","Running","Automatic"
"dot3svc","Wired AutoConfig","Running","Manual"
"DPS","Diagnostic Policy Service","Running","Automatic"
"DsmSvc","Device Setup Manager","Stopped","Manual"
"DsSvc","Data Sharing Service","Running","Manual"
"DusmSvc","Data Usage","Running","Automatic"
"Eaphost","Extensible Authentication Protocol","Running","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Running","Manual"
"embeddedmode","Embedded Mode","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
"ETDService","ELAN Service","Running","Automatic"
"EventLog","Windows Event Log","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"Fax","Fax","Stopped","Manual"
"fdPHost","Function Discovery Provider Host","Stopped","Manual"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual"
"fhsvc","File History Service","Stopped","Manual"
